"Faixa Etária 1";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"Menor 1 ano";88;2031;1477;1641;1119;967;1273;814;610;587;574;426;460;155;65;12287
"1 a 4 anos";113;3023;2520;3789;2537;2490;2900;1796;973;813;716;555;495;165;64;22949
"5 a 9 anos";50;875;828;1078;878;717;945;778;554;662;651;391;349;156;39;8951
"10 a 14 anos";17;356;404;431;443;374;417;410;275;274;338;285;311;164;63;4562
"15 a 19 anos";18;236;312;238;221;213;256;231;183;160;193;143;166;98;16;2684
"20 a 29 anos";27;540;669;542;397;349;399;321;312;312;306;338;270;214;45;5041
"30 a 39 anos";34;580;596;454;411;372;406;344;293;290;344;350;350;258;69;5151
"40 a 49 anos";34;688;725;540;408;385;432;357;359;324;384;396;399;312;73;5816
"50 a 59 anos";50;861;818;617;541;508;611;437;483;533;563;579;553;438;119;7711
"60 a 69 anos";49;1027;857;632;638;572;637;511;604;643;666;730;774;536;147;9023
"70 a 79 anos";53;1273;948;814;723;594;707;578;638;607;650;681;708;526;147;9647
"80 anos e mais";63;1365;968;837;713;563;682;547;634;621;714;689;808;495;133;9832
"Total";596;12855;11122;11613;9029;8104;9665;7124;5918;5826;6099;5563;5643;3517;980;103654
 
